,text, label;;;;
888,Just how important is this rare earth metal discovery in Sweden?,
889,Prof. Hassel: There are two aspects to this find.,
890,One side relates to trade policies.,
891,"The majority of rare earth elements come from China, and more and more are coming from the USA as well.",
892,"In the past, during the conflict over the Senkaku Islands near Taiwan, China actually suspended its supply of rare earth elements to Japan in order to put more pressure on Japan.",
893,Being dependent on Chinas goodwill leaves the rest of the world vulnerable to extortion.,
894,The solution here could be production in Europe and this is exactly why this discovery is significant.,
895,",",
896,The other aspect concerns research.,
897,These rare earth metals are tremendously important as their electronic structures mean that these rare earth metals are unique and have certain magnetic and photometric properties.,
898,Europium is used when making fluorescent lamps and LED lighting.,
899,The rare earth elements neodymium and samarium are used in magnets.,
900,Gadolinium is used in medicine for MRI (magnetic resonance imaging) applications.,
901,Yttrium is in YAG lasers and the lambda probe is used to help reduce gas control exhaust emissions in cars as well as to measure levels of oxygen during steel production as part of the Linz-Donawitz process.,
902,"Scandium is an alloy component used to produce high-strength aluminum for the Airbus A380, or high-quality racing bike frames.",
903,Erbium and terbium are used in light amplifiers and light valves which are essential Internet components.,
904,The oxide in cerium is widely used to produce important abrasives and polishing agents.,
905,"These are just a few examples and as you can see, rare metals are important as we need them for a very broad range of applications.",
906,"Jan Moström, the head of the Swedish mining company that disclosed the find, referred to the deposit as good news, not just for the region and for Sweden, but for Europe and the climate.",
907,What does he mean by that?,
908,"Prof. Hassel: He\s right because we need large quantities of neodymium and samarium to not only help produce electric motors for electric cars, but also for the permanent magnets contained in wind energy generators.",
909,"In this regard, the find is certainly of relevance in terms of climate policy.",
910,Just how rare are rare earth elements?,
911,"Prof. Hassel: In truth, in terms of quantity, they are not all that rare.",
912,"As stable elements, they are more common than silver, platinum and gold.",
913,"These elements are found only in very scattered locations and, as in Sweden, they are often mined only as a by-product.",
914,"The term rare earth elements presumably refers more to their unique, rarely occurring properties.",
915,"As you conduct research on rare earth metals, just how important are these metals?",
916,"Prof. Hassel: We are always on the lookout for inexpensive, environmentally-friendly production methods.",
917,Rare earth elements are appealing because you often just need a very small amount of these metals to attain the desired effect.,
918,This is probably why they also go by the nickname of spice metals.,
919,What are you currently working on?,
920,Prof. Hassel: My research focuses on introducing selective disruptions to metal alloys.,
921,"They then lose their crystalline character and exhibit special properties, such as an extremely smooth surface or significantly higher resistance to corrosion.",
922,"In technical terms, the alloys become amorphous.",
923,"In cooperation with voestalpine, researchers at a Christian Doppler laboratory developed an amorphous zinc alloy that can be applied even more thinly to surfaces.",
924,"The method can also be used to produce high-strength, low weight aluminum alloys.",
925,"Alloys used for implants can be created based on magnesium and other metals found in human bodies; after a certain period of time, these will then dissolve on their own.
",
926,The International Welcome Center (IWC) now serves as a central point of contact for international employees at the Johannes Kepler University Linz.,
927,"State Minister Achleitner, councilperson Almir Balihodzic, Sonja Falkner-Matzinger, Vanessa Fuchs (Austrian Student Union), Rector Lukas, and VR Koch at the grand opening.",
928,"Co-financed by the state of Upper Austria, Markus Achleitner, State Minister of Business and Research, and local council member, Almir Balihodzic, recently toured the newly open center.",
929,JKU Rector Meinhard Lukas remarked: The JKU considers itself a university with strong regionally-based roots but also as an internationally oriented university with the capability to consistently adapt to overall social conditions.,
930,"In recent years, globalization, digitalization, and growing demands on Linz as a location of higher education have resulted in the JKU becoming more and more international in the areas of research and teaching.",
931,"New academic degree programs, such as the English-language \Artificial Intelligence\ degree program, international research groups, and so-called Labs at the Linz Institute of Technology are just a couple of examples.",
932,"As a result of increased internationalization in education and research (the JKU currently has 25 English-language degree programs), the number of international employees has risen steadily over the past few years.",
933,"There is currently a total of approximately 3,500 international students (including Erasmus students) at the JKU and over 700 international employees.",
934,"The rise in the number of international students and employees has resulted in creating the IWC to address special needs in regard to information, assistance, etc.",
935,"Sonja Falkner-Matzinger, head of the IWC, added: The International Welcome Center is new at the JKU Linz, playing a key role as an initial point of contact for prospective students, students, and employees who have international backgrounds.",
936,"We aim to create a \welcoming culture\ for international students and employees as well as provide important information and consultation services for long-term perspectives, even after graduation.",
937,"The IWCs responsibilities include providing students with academic advising services regarding their stay in Austria, mediating in matters between students and faculty members or administrative staff, and organizing and supervising the MORE program.",
938,"The IWC does not assist with student exchange programs (meaning the Erasmus program, etc.); the JKU’s International Office will continue to organize student exchange programs.",
939,", Organizationally, the IWC is part of the JKU department International Welcome Center and Ombuds Office for Students.",
940,Financial funding has been made available by grants provided by the state of Upper Austria.,
941,The IWC offers services to target groups with the intention of making their stay more pleasant as well as provide support to live and work in Upper Austria.,
942,"The objective is to strengthen core skills and key technologies, thereby supporting the region of Upper Austria as a successful location of business and research.",
943,"Markus Achleitner, state minister for Business and Research, learned more about the Center during a recent tour and Mayor Klaus Luger (represented by local councilman Almir Balihodzic at the event) supports the new International Welcome Center: Markus Achleitner, State Minister for Business and Research, commented: Research is becoming increasingly international and plays a key role in ensuring the capacity to support innovation, both locally as well as throughout all of Austria.",
944,"To this end, we need cooperation and competition among the best minds, new momentum and ideas, and active exchange as part of a global network.",
945,The JKU’s new International Welcome Center will contribute significantly to this.,
946,"Mayor Klaus Luger added: The new International Welcome Center is another milestone in an effort to better position the JKU, serving as an information provider and pooling resources and services to better support international students and faculty members.",
947,The IWC Supervises Students in the MORE Program The JKU has been a part of the uniko’s (Austrian University Conference) MORE initiative since the fall of 2015.,
948,The initiative was created to support refugees and displaced persons holding higher education qualifications as they continue to pursue a degree.,
949,Those who have refugee or displaced status - regardless of how far along the (asylum) procedure is – can apply to be in the MORE program.,
950,The JKU’s International Welcome Center and Ombudsman Office for Students has been involved in the MORE initiative since 2020.,
951,"When the program began, it focused more on helping refugees learn German.",
952,"Over time, the initiative has evolved to a two-pillar model for those who have a refugee background or displaced status and would like to earn a degree at the JKU (MOREclassic for students in the pre-study program and the Borealis-MORE grant and scholarship for degree-seeking students).",
953,"The IWC as a Center for Displaced Ukrainian Students As part of the MORE initiative, the IWC also coordinates and organizes the JKUs outreach efforts for displaced Ukrainian students.",
954,"The IWC has created a landing page (https://www.jku.at/en/international-welcome-center-and-student-ombuds-office/jku-linz-for-ukrainian-displaced-people/) to provide information regarding issues related to residency, housing and studies.",
955,Information on the page is available in three languages.,
956,"In close cooperation with the JKU’s International Office, the mobility program also provides easier, fast-track access to admission for the 2022 Summer Semester.",
957,"In cooperation with the Center for Business Languages and Intercultural Communications at JKU, the IWC has also organized German language courses for displaced Ukrainian students.",
958,The language courses will help the students wishing to earn a degree acquire the language skills they need in order to be admitted to the JKU Linz as degree-seeking students.,
959,"]
",
960,Tourism in the age of climate change - is it even worth it?,
961,And how successfully can we support sustainable tourism?,
962,"Andreas Straube wearing a VR headset Endowed with €1.1 million, a six-year Interreg project titled Lebenswerter Alpenraum under the management of the Johannes Kepler University Linz will address these questions and more, questions that are of particular importance to a leading tourist destination such as Austria.",
963,Interreg is a joint initiative by the European Regional Development Fund.,
964,"Under the direction of Dr. Herta Neiß (Tourism Management at the JKU’s Institute for Social and Economic History), Lebenswerter Alpenraum aims to create participatory solutions to support sustainable tourism in the German-Austrian alpine region.",
965,"The cross-border partnership with various project partners (Salzburg University of Applied Sciences - Mario Jooss, Rosenheim University of Technology - Andreas Straube, hublz - Barbara Pölzleithner, hey.bayern - Hans Wembacher, Chiemgau Tourismus - Stephan Semmelmayr, Inner Salzkammergut Tourism Association - Christan Schirlbauer, Cultural Capital 2024 - Stefan Heinisch, Salzkammergut Tourismus und Marketing Ltd. - Michael Spechtenhauser, and Upper Austrian Tourismus - Doris Rom) has been going strong for over three years.",
966,Community InvolvementDr.,
967,"Herta Neiß remarked: We need to develop innovative approaches that will not only create solutions to address more sustainable tourism developments, but also focus culturally on regions included in the study (Upper Austria, Salzburg and Bavaria).",
968,The regional population’s needs should align with tourism developments.,
969,"As part of our workshops and a large-scale survey, we aim to learn more about what the local population wants so we can incorporate this information into the project.",
970,"Different Regions, Similar Challenges The participating regions have a somewhat comparable baseline of a high volume of tourism and selective peak times.",
971,The goal is to overcome these challenges by expanding existing attractions and making them more interesting and appealing.,
972,"One of many new ideas would be to add new types of experiences and present them on a digital, interactive platform.",
973,"In an effort to promote travel to the respective regions, the digital platform could feature, for example, 360° videos, interactive games, or even augmented reality applications to take visitors through virtual worlds as avatars.",
974,Dr. Neiß added: We want to tap into new groups of guests and get them more interested in visiting the participating regions.,
975,The idea is to make tourism more resilient in the face of random events.,
976,The partners plan to launch their ideas during a major symposium scheduled for the fall of 2023 in the Salzkammergut regions and in cooperation with the 2024 Capital of Culture.,
977,"The symposium will address tourism volume, peak times, as well as introduce some of innovative, future-oriented approaches to finding solutions.
",
978,What would you like to study?,
979,Faculty and students at the JKU’s Open House answered these questions and more!,
980,"Impression from the 2023 Open House Interest in the JKU’s Open House was tremendous and the university welcomed around 1,000 visitors to the Kepler Hall for the first time since the start of the pandemic.",
981,Choosing the right degree program can be difficult and over 300 people took advantage of the opportunity to take a free study assessment test.,
982,"The guided tours were also popular as 70 prospective students took part in three mechatronics tours alone, and 250 participants took a general campus tour to get to know the JKU better.",
983,"Faculty members and students enrolled at the JKU were on-hand to answer visitors’ questions about undergraduate, graduate, and Diploma degree programs.",
984,"The program also featured a variety of events, ranging from demonstrations by robot dog SPOT to free nitrogen ice cream, a social media lounge and basketball performances by the JKU Astros.
",
985,The “Long Night of Writing” at the JKU’s Main Campus Library gave students a unique opportunity to focus and work on their academic papers.,
986,Impressions from the second annual Long Night of Writing at the JKU\s Learning Center How do you overcome writers block?,
987,How exactly do you write an academic text?,
988,"Info sessions and workshops during the “Long Night of Writing” not only provided tips and suggestions on writing academic papers, but also offered fun events to break up the evening, including yoga sessions, back exercise classes, and juggling!",
989,"One June 28 between 5:30 PM to 6:00 AM the following morning, over 100 students came to the JKU’s Learning Center to share advice and write together.",
990,"It was clearly worth it: in the future, those who took part in the event can now approach academic writing with a greater sense of assurance and confidence.",
991,"]
",
992,Stefan Süß’ presentation at the JKU spoke about how to be happy despite times of crisis.,
993,Presentation by Stefan Süß Speaking on behalf of the Verein Campus 4.0.,
994,"– Verein zur Förderung der Campuskultur, Stefan Süß’ (speaker and communicator) presentation titled Satisfaction and Growth, Even During Challenging Times motivated and inspired close to 50 guests.",
995,"Using a guiding principle, such as happiness is accepting that what is, his 90-minute presentation focused on essential qualities in life that have been perhaps somewhat forgotten.",
996,Admission was free; voluntary donations benefitted the MORE initiative to support refugee and displaced students.,
997,"The speaker also supported the initiative by donating his fee.
",
998,He was one of the JKU’s defining figures.,
999,A ceremony at the JKU commemorated the so-called Marketing Pope Kulhavy.,
1000,"Impressions from the ceremony commemorating Ernest Kulhavy After a long and distinguished life, the visionary intellectual and scholar passed away on April 15, 2020.",
1001,"During a ceremony at the JKU’s UniCenter on Tuesday, a number of guests came together to remember the former JKU Rector.",
1002,"As part of a roundtable discussion, Prof. Christoph Teller (Institute of Retailing, Sales and Marketing), Prof. Fritz Schneider (professor emeritus and colleague of Prof. Kulhavy), Elfriede Zörner (a former colleague of Prof. Kulhavy), and Gerhard Stürmer (a former assistant professor with Prof. Kulhavy and honorary president of the JKU Alumni Club) spoke about Kulhavy’s role at the JKU, as well as how he advanced the area ofmarketing in German-speaking Europe.",
1003,"Dr. Thomas Königstorfer (managing director at the Landestheater Linz), also a graduate under Ernest Kulhavy, served as moderator.",
1004,"Prof. Kulhavys daughters and granddaughters also took part in the ceremony, joining numerous associates and prominent figures in academia and from the business community.",
1005,"]
",
1006,"Rare does not mean just low in number: Approximately 7% of the population suffers from one of over 7,000 rare disorders known at present.",
1007,"Wolfgang Högler, Pediatrics and Adolescent Medicine February 28 is Rare Disease Day.",
1008,"Rare does not mean just low in number: approximately 7% of the population are affected by the 7,000 rare diseases known at present, meaning that throughout Europe, some 30 million people are affected.",
1009,Researchers and physicians at the Johannes Kepler University and the Kepler University Hospital are currently conducting ground-breaking research to treat these types of diseases.,
1010,The Department of Pediatrics and Adolescent Medicine was established in 2018 at the Kepler University Hospital and department head Prof. Wolfgang Högler’s activities include conducting research and treating rare diseases.,
1011,"Patients affected by rare diseases experience an enormous amount of psychological stress and strain, not only during the period leading up to the diagnosis, but afterwards as well.",
1012,"In addition, the more unusual and rarer a disease is, the more expensive treatment can be and spending several hundreds and thousands of euros annually per patient is not uncommon.",
1013,"Leading hospitals in Europe and in the EU itself have long understood that patients suffering from a rare disease can really only be treated at specialized centers where there is a higher level of expertise, healthcare professionals with years of extensive training and education in that particular field, as well as active involvement in globally networked research projects.",
1014,"Professor Högler spent 13 years at leading endocrinology institutions in English-speaking countries before accepting his appointment to Linz and remarked: Thanks to advanced technologies in DNA/RNA sequencing, diagnostics have improved greatly.",
1015,"When it comes to complex cases, our research network and my research laboratory at the JKU’s new Faculty of Medicine campus gives us opportunities to dive even further into the genetical material to look for causes or track down the disease mechanisms.",
1016,"This kind of research has paved the way to developing many new types of treatment; there are wonderful examples of enzyme replacement therapies and, more recently, gene therapy, all of which are experiencing success on a revolutionary scale.",
1017,Experts in Prof. Högler’s team in Linz are part of internationally active networks that aim to give as many patients as possible access to studies as well as new treatment options.,
1018,"As part of the European Reference Network for Rare Diseases, doctors and nurses work in specialized teams.",
1019,"One example of a rare disease is hypophosphatasia (HPP), a hereditary, incurable bone metabolism disorder in which the bones lack sufficient mineral content, leading to severe skeletal malformations.",
1020,"Patients suffer from rickets, bone fractures, muscle weakness, fatigue, rheumatic pain, and the early loss of baby teeth, including the root.",
1021,"Approximately 1 in 7,000 experience a moderate or mild form of HPP.",
1022,"The more severe the disease, the earlier it tends to manifest and the earlier it can be diagnosed.",
1023,"Diagnosing HPP includes a blood test and an X-ray, however, genetic testing is crucial as the disease is caused by mutations in the ALPL gene.",
1024,The problem is that the ALPL gene has a large number of variants and the extent of the disease can sometimes be unclear.,
1025,This is where Prof. Högler’s research comes in.,
1026,"The JKU website features a global, publicly accessible site that lists all of the known ALPL gene variants.",
1027,This particular database serves as a reference for experts from around the world who are involved in treating this disease.,
1028,"The project team in Linz receives the genetic codes for ALPL variants from around the world, conducts cell-culture testing to determine disease value, and presents the findings to an international group of experts led by Prof. Högler.",
1029,"The database includes all of the information published about the gene variant’s disease value to date, ranging from cell function to the patients’ corresponding symptoms.",
1030,"By classifying as many gene variants as possible, the idea is to facilitate diagnosing HPP in the future.",
1031,"The project was created by Prof. Högler and laboratory manager Dr. El-Gazzar with funding in the amount of € 1.4 million provided by a biopharmaceutical company, Alexion, which specializes in rare diseases.",
1032,The research findings are expected to provide a better understanding of the disease.,
1033,"Prof. Högler added, Network-based research is essential in an effort to learn more and acquire a greater understanding.",
1034,"Pediatrics and Adolescent Medicine in Transition Tremendous advances in diagnostic tools are transforming pediatrics and medical education at the Kepler University Hospital, a place where congenital diseases and metabolic disorders are initially diagnosed and treated.",
1035,"As there are approximately 7,000 rare diseases, creating a central hub as well as specializing in a field are an absolute must in the area of pediatrics; the large number of special outpatient clinics are a testament to the core idea.",
1036,One example of rapid developments in medical care on a university level is epilepsy.,
1037,"Two decades ago, there was little aetiological research in this area and patients simply accepted the diagnosis of epilepsy, focusing more on being seizure-free but without understanding why he",
1038,/she had the disease.,
1039,"In 2022, diagnosing epilepsy has evolved into more than 130 specific clinical pictures, mostly of genetic origin, and each with a specific disease mechanism.",
1040,"The same applies to dwarfism, bone brittleness, and many types of hormonal disorders.",
1041,"Prof. Högler pointed out the challenges and future opportunities: It goes without saying that each of these individual diseases also require tailored treatment plans, and our clinical research within international networks is quite pivotal in order to create and provide individual treatment.",
1042,"Prof. Högler added: As researchers, we have to turn our attention to what was once previously considered inexplicable and also teach these subjects because today\s research are tomorrow’s cures.",
1043,"Main Focus at the University Hospital on Pediatrics and Adolescent Medicine The Department of Pediatrics and Adolescent Medicine has extensive expertise in the areas of endocrinology (hormones), osteology (bones), and neurology (nervous system and muscles), hereby providing the medical care not only required in this region, but also beyond state borders.",
1044,"Research and disease management care focuses on insufficiency and hormonal disorders pertaining to adrenal glands, gonads, the pituitary gland, the thyroid gland, and the parathyroid gland.
",
1045,Using smart actuators to help address current social challenges.,
1046,Smart Actuators Day at the JKU Both climate change and the current energy crisis are continually showing us just how current challenges are impacting our society.,
1047,"Organized by the Institute for Smart Actuators at the JKU in Linz, the first Smart Actuators Day featured presentations and several examples demonstrating how important smart actuators are in this context.",
1048,"Academics, scientists, students, and industrial representatives were very interested in the topic, actively taking part in the discussions.",
1049,The presentations ranged from systems that support significant energy reduction at industrial plants to developments in the field of e-mobility.,
1050,"As part of his presentation, Dr. Matthias Kornfeld (head of Product Development at HOERBIGER Vienna), remarked: We believe technology is key to a better world.",
1051,"Dr. Kornfeld outlined the importance of collaboration efforts between industry and university research to find approaches and solutions that address current and future social challenges.
",
1052,"Traditionally observed at the end of Ramadan, the Muslim month of fasting, Iftar was once again interdenominationally observed at the KHG Heim.  ",
1053,The MÖH (Muslim Austrian Student Union) has been welcoming students (both dorm residents and all JKU students) to Iftar celebrations at the student dorm since 2018.,
1054,"Dino Osmanagić (MÖH) remarked, Universities are a place of free and unrestricted education, and nothing should stand in the way of that either.",
1055,"When it comes to university life, we aspire to ensure all of the students feel included.",
1056,He believes in fostering a positive and harmonious relationship and dispelling any anti-Muslim biases.,
1057,This is why we also invite non-Muslims to break the fast with us.,
1058,The approximately 100 participants attending Iftar also included people in other religions.,
1059,"Osmanagić reiterated: The interest is there and while speaking with guests, many said they thought it was a pity they had not discover us earlier.",
1060,A Month of Reflection Ramadan is the holy month of fasting on the ninth month of the Islamic calendar.,
1061,"During this time, those who participate in Ramadan must fast and abstain from any food and drink every day of the month, breaking their fast with Iftar once the sun has set.",
1062,"Family, friends, neighbors, and sometimes total strangers, come together to break the fast.",
1063,This gathering is an important social factor in the lives of many Muslims.,
1064,"Some also invite colleagues and acquaintances of other faiths to give them a sense of this special month and its festive, communal evenings.
",
1065,Starting with a kick-off game featuring the JKU Linz Astros to a concert by chart-topping singer Tina Naderer - the JKU was in a week-long fun & activity mode!,
1066,"Impressions from Welcome Week at the JKU JKU Welcome Week was an invitation to new students to get to know the JKU, become better acquainted with colleagues, and - above all!",
1067,- have fun and party!,
1068,"Welcome Week featured a lively program of sports, games, and information - both at the MED Campus and at the JKU!",
1069,"A large number of students took advantage of this special program and explored the viewing platform up at the JKU Somnium, the Science Park, the floating café at the Uniteich, cafeterias, libraries, and the new MED Campus.
",
1070,A JKU study has shown that spending more time with AMS advisors results in finding a job faster.,
1071,"Arbeitssuche Symbolbild; Credit: Pixelbay The Public Employment Service Austria (AMS) provides assistance, support services, and job placement services for those who are unemployed.",
1072,Just how successfully someone can be helped to become employed again also depends on how many job seekers an AMS advisor has to assist.,
1073,"The evaluation for a pilot project is suggesting that a more intensive level of support can shorten the duration of unemployment, speed up the process to find a new job, and save money in the process.",
1074,"In 2015 (2019), the AMS found jobs for an average of approximately 5,230 (5,500) individuals (full-time), serving over 1 million (960,000) individuals and over 68,000 (76,000) companies (AMS, 2015; AMS, 2019).",
1075,"Approximately 11,300 job referrals were issued each working day in 2015 for approximately four million job interviews, and around three-quarters of all job openings (excluding apprenticeships) were filled within a one-month period.",
1076,"In 2015 and in 2016, the AMS piloted an experimental project to explore the impact of more attentive counseling services.",
1077,The number of employees was increased at one regional office in Linz and at one office in Vienna to support a randomly selected group of job seekers; the ratio of support for all other job seekers did not change.,
1078,"At the start of the project in Vienna, one person in one group provided support services for approximately 100 unemployed individuals.",
1079,"In the comparison group (in which the staffing level remained unchanged), one person provided support services for approximately 250 unemployed individuals.",
1080,The advisors who provided services to the smaller group therefore had more time to assist the job seekers.,
1081,"An evaluation by JKU labor market economist, René Böheim, along with Helmut Mahringer and Rainer Eppel (both WIFO), has shown that improving the support ratio has initially resulted in more extensive counseling services and job placement activities, thereby positively impacting the job seekers’ employment opportunities.",
1082,"The advisors had more time to spend with individual job seekers, resulting in more frequent contact, more job offers, more allocation to support different measures, but also more frequent suspension of receiving benefit if the individual did not keep interview appointments or rejected job offers.",
1083,"In comparing the labor market situation two years after the project began, the group with better support services was registered as unemployed for an average of two months less than those in the group with the unchanged support service ratio.",
1084,The shorter unemployment period was partly due to the fact that the unemployed individuals who had more support were able to find a job more quickly.,
1085,"In addition, the unemployment rate impacted the number of those who gave up unemployment benefits without having found a job, meaning they remained without gainful employment and did not receive any benefits to secure their livelihood, such as unemployment benefits or unemployment assistance.",
1086,"In theory, a higher level of support could result in some individuals accepting less attractive jobs in order to avoid having to check in with the advisor often and being subject to a certain extent of “control” that comes with the process.",
1087,"This could potentially result in a higher degree of more unstable employment, or comparatively low pay, because employees and employers are not as well matched.",
1088,"On the other hand, more coordinated placement could result in more stable, higher-paying employment if the labor force was more closely matched to the job opening.",
1089,"However, the greater intensity of outreach actually had no impact on either entry-level wages or job length.",
1090,"This indicates that while the more closely supervised group found a job more quickly, the nature of employment did not change substantially.",
1091,"A comparison of the costs to provide a higher level of support services and the revenues for the public sector has shown that increasing the number of employees not only helped many jobseekers find employment more quickly, but it is also more cost-efficient.",
1092,The higher staffing costs are outweighed by the fact that shorter unemployment periods result in fewer subsistence benefits and finding a job faster boosts revenue from taxes and social security contributions.,
1093,"In this case, this is an investment that can actually save the state money.",
1094,About René Böheim René Böheim is an economist at the Department of Economics at the Johannes Kepler University Linz and a research consultant at the Vienna Economic Research Institute.,
1095,"His research focuses on empirical labor market research, particularly evaluating labor market policies.
",
1096,"Located at the LIT Cyber-Physical Systems Lab, the laboratory successfully passed its two-year evaluation.",
1097,"The Christian Doppler Laboratory VaSiCS team (from l to r): Rick Rabiser, Antonio Manuel Gutierrez Fernandez, Hafiyyan Sayyid Fadhlillah, Markus Unterdechler, Shubham Sharma, Philipp Bauer, Lisa Sonnleithner, Elene Kutsia, Ursula Schwarzgruber, Alois Zoitl; photo credit:",
1098,Kneidinger-Photography The CD Lab VaSiCS opened its doors in February of 2021 under the direction and management of Prof. Rick Rabiser and Prof. Alois Zoitl.,
1099,"As part of the lab’s two-year evaluation in mid-November of 2022, the lab team submitted a detailed evaluation report beforehand, providing detailed information about the lab’s research findings as well as its trajectory path in regard to intended activities in the coming years.",
1100,"During the evaluation, the lab team presented an impressive overview of research findings along with other selected details, such as the CD Lab VaSiCS’s development of a multidisciplinary variability management approach to support cyber-physical production systems, and approaches to analyze and visualize these kinds of system’s software architectures.",
1101,"The evaluation committee’s conclusion was very favorable and based on the results as well as a decision rendered by the CD Senate, a continuation of the CD Laboratory VaSiCS has been approved for an additional three-year period to January 31, 2026.",
1102,"Prof. Rabiser and Prof. Zoitl are both extremely pleased with the successful review and remarked: We would like to take this opportunity to thank our entire team at the VaSiCS CD Laboratory, our industrial partner, the Christian Doppler Research Society, the Johannes Kepler University Linz, and the state of Upper Austria.
",
1103,Legendary Linz hip hop band TEXTA and actress Anne Bennent opened the season at the JKU’s Circus of Knowledge.,
1104,"TEXTA; Credit: Nick Mangafas Visitors can look forward to two additional performances in April focusing on War and Peace featuring acting greats Johannes Krisch & Larissa Fuchs (April 23), and Klaus Maria Brandauer (April 30).",
1105,"Admission is free, sign up in advance to attend at: https://www.jku.at/zirkus-des-wissens, opens an external URL in a new window The stage was free yesterday at 7:30 PM for the grand opening of the JKU’s Circus of Knowledge!",
1106,"Actress Anne Bennent (Salzburg Festival, Schiller Theater Berlin, Burgtheater) read touching and poignant diary entries written by Ukrainians in the war zone, giving the audience a very authentic and moving insight into the hard-hitting realities of war.",
1107,"The legendary Linz hip hop band TEXTA followed, entertaining the audience with their raw banter, social criticism, and their strong sound!",
1108,Sound artist and performer Sainkho Namtchylak from Tuva made a surprise guest appearance.,
1109,"As a well-known musician, she has worked with the Moscow Composers Orchestra, among others.",
1110,"Namtchylak’s versatility, seven-octave vocal range, overtone singing technique, versatility, and talent in various musical styles (ethno, jazz, avant-garde, pop, electronic) set her apart.",
1111,"Circus Director Airan Berg remarked: The \Circus of Knowledge\ is a unique space in Europe created to support art and theater and dedicated to bringing art, science, and society together.",
1112,The Circus an important part of our university’s innovative spirit.,
1113,The start of the season shows that fantastic and amazing artists are eager and willing to perform in this new space created at the JKU to actively take part in important contemporary discourse together.,
1114,JKU Rector Meinhard Lukas is also very enthusiastic and added: What a great start to the season here at the JKU’s \Circus of Knowledge\!,
1115,I hope we have made our guests and visitors curious to explore more here at this unique space of wonder and discovery.,
1116,"I would like to invite anyone interested to join in, help shape and design this space, and be amazed together.",
1117,Admission to the event was free.,
1118,Donations were gratefully welcomed to benefit displaced Ukrainian students currently in the JKU’s (MORE program).,
1119,"Two additional fundraising events will be held in April, also free of charge (kindly register in advance to attend: https://www.jku.at/zirkus-des-wissens/, opens an external URL in a new window):",
1120,"Additional information about the program between May and July 2022 is available at: https://www.jku.at/zirkus-des-wissens/, opens an external URL in a new window (unless otherwise stated, admission is on a voluntary “pay as you can” basis, meaning guests can contribute the amount they would like to pay).
",
1121,The 8th annual international Náboj mathematics competition took place in Linz.,
1122,Náboj 2023,
1123,The event was held at Johannes Kepler University Linz for the first time since 2019.,
1124,"A total of 47 teams, each consisting of four to five students from secondary level 2 (in two different age categories of junior and senior) had two hours to try and solve as many tricky mathematical problems as possible.",
1125,"In order to master the tasks, teams had to work together, resulting often in heads spinning and lively heated discussions.",
1126,"At the end of the two hours, the team from the Gymnasium und Realgymnasium Kollegium Aloisianum Linz emerged as the winners in the junior category.",
1127,They also took the nationwide victory having solved 28 tasks.,
1128,The team from the Realgymnasium Benediktinerstift Lambach won the senior category.,
1129,"During the awards ceremony, all of participating teams were warmly applauded and presented with a certificate in recognition of their outstanding efforts over the past few hours.",
1130,The top three teams in each category were singled out in recognition and rewarded with attractive prizes.,
1131,The JKU would like to congratulate all of the winning teams and participants in the 2023 Náboj competition!,
1132,We would also like to especially thank all of the sponsors and volunteers who helped to organize and make this unforgettable event happen for over 200 students.,
1133,"The next competition is scheduled for April 2024 and we hope to once again experience a memorable turnout.
",
1134,Toss the coin!,
1135,The JKU is the first university outside of Vienna to step onto the basketball court as part of the Austrian Collage Sports League (ACSL).,
1136,"The JKU Astros mens and womens teams will join the basketball league in November; on Thursday, October 6, they will play a test game against the TU Vienna Robots., As part of the JKU’s annual fall Welcome Week, the JKU Linz Astros will make their debut at the Kepler Hall starting at 3:30 PM.",
1137,"Cheered on by the JKU cheer dancers and 400 fans, the Astros will compete against a team from Vienna.",
1138,"Even if they don’t win, they intend to party anyway, especially with music by 2:tages:bart and exciting community games in which freshmen will compete against seniors.",
1139,Match Day will be the largest college sports event in Austria outside of Vienna.,
1140,"Martin Weiß, head of JKU\s University Sports Institute (USI), is excited about the prospect and remarked: College sports at a university are a tremendous student experience because it helps them identify with their own university.",
1141,"JKU Linz Astros\ game days in particular will be an event spectacle, the likes of which the JKU has never seen before when it comes to campus sports.",
1142,The new JKU Linz Astros logo will also be unveiled.,
1143,"The first league game will take place away at the Stadthalle in Vienna on November 19 against the MedUni Serpents.
",
1144,"Explore, discover, interact: 660 children have been bringing the JKU campus to life since July 11.",
1145,"LR Haberlander, Rector Lukas and Science Holidays 2022 participants The 3rd annual JKU Science Holidays program has once again been a great success, hosting “junior researchers” between the ages of 6 and 14 on campus until August 5, and inviting them to discover science in a playful way.",
1146,JKU Rector Meinhard Lukas remarked: Education and progress are rooted in curiosity.,
1147,"When given the space and incentives to do so, children discover the world in their own way.",
1148,"Most scientists have not only retained their childlike curiosity, it also serves as a driving force behind their research.",
1149,"During the JKU Science Holidays program, todays researchers come together with tomorrow\s junior researchers, learning and having fun together as they explore different scientific topics.",
1150,"We have put together an exciting and diverse program of workshops, seminars, and daytrips.",
1151,"The children are between the ages of 6 and 14 and some of them are getting their first taste of campus life and learning first-hand about topics in natural sciences, engineering, law, medicine, business, social issues, and biology.",
1152,Our doors are open and we explicitly welcome inquisitive children here!,
1153,"This year’s JKU Science Holidays program has been made possible by the Austrian Federal Ministry of Education, Science & Research, the OEAD (Agency for Education and Internationalization), and the Upper Austrian government.",
